name,auditor,CG,index,sector,free_float,is_trust
CK,EY OFFICE LIMITED,5,"['SET100', 'SETCLMV', 'SETTHSI']",Construction Services,66.79,False
CKP,EY OFFICE LIMITED,5,"['SET100', 'SETCLMV', 'SETTHSI']",Energy & Utilities,23.81,False
CM,"AST MASTER CO., LTD.",5,['SET'],Food & Beverage,36.95,False
CMAN,PKF AUDIT (THAILAND) LIMITED,3,['SET'],Petrochemicals & Chemicals,38.23,False
CMC,PRICEWATERHOUSE COOPERS ABAS LIMITED,4,['mai'],Property & Construction,34.79,False
CMO,"ANS AUDIT CO., LTD.",3,['mai'],Services,57.91,False
CMR,"DHARMNITI AUDITING CO., LTD.",3,['SET'],Health Care Services,15.12,False
CNT,EY OFFICE LIMITED,5,['SET'],Construction Services,27.83,False
COLOR,PRICEWATERHOUSE COOPERS ABAS LIMITED,4,['mai'],Industrial,49.82,False
COM7,PRICEWATERHOUSE COOPERS ABAS LIMITED,4,"['SET50', 'SETWB']",Commerce,46.42,False
COMAN,"DHARMNITI AUDITING CO., LTD.",5,['mai'],Technology,42.86,False
COTTO,KPMG PHOOMCHAI AUDIT LIMITED,5,['SET'],Construction Materials,15.10,False
CPALL,KPMG PHOOMCHAI AUDIT LIMITED,5,"['SET50', 'SETTHSI', 'SETWB']",Commerce,56.65,False
CPF,KPMG PHOOMCHAI AUDIT LIMITED,5,"['SET50', 'SETCLMV', 'SETTHSI', 'SETWB']",Food & Beverage,45.65,False
CPH,KARIN AUDIT COMPANY LIMITED,0,['SET'],Fashion,40.67,False
CPI,EY OFFICE LIMITED,5,['SET'],Food & Beverage,50.51,False
CPL,CWWP COMPANY COMPANY LIMITED,4,['SET'],Fashion,28.98,False
CPN,KPMG PHOOMCHAI AUDIT LIMITED,5,"['SET50', 'SETTHSI']",Property Development,62.76,False
CPNCG,KPMG PHOOMCHAI AUDIT LIMITED,0,['SET'],Property Fund & REITs,No Data,True
CPNREIT,KPMG PHOOMCHAI AUDIT LIMITED,0,['SET'],Property Fund & REITs,73.13,True
CPR,KPMG PHOOMCHAI AUDIT LIMITED,0,['mai'],Industrial,18.21,False
CPT,"ANS AUDIT CO., LTD.",3,['SET'],Industrial Materials & Machinery,45.87,False
CPTGF,EY OFFICE LIMITED,0,['SET'],Property Fund & REITs,No Data,True
CPW,KPMG PHOOMCHAI AUDIT LIMITED,3,['SET'],Commerce,31.80,False
CRANE,PV AUDIT COMPANY LIMITED,3,['SET'],Industrial Materials & Machinery,49.76,False
CRC,KPMG PHOOMCHAI AUDIT LIMITED,4,"['SET50', 'SETCLMV', 'SETWB']",Commerce,52.51,False
CRD,"AST MASTER CO., LTD.",4,['mai'],Property & Construction,25.96,False
CSC,EY OFFICE LIMITED,4,['SET'],Packaging,38.07,False
CSP,SP AUDIT COMPANY LIMITED,4,['SET'],Steel,16.28,False
CSR,CWWP COMPANY COMPANY LIMITED,3,['SET'],Tourism & Leisure,21.08,False
CSS,EY OFFICE LIMITED,5,['SET'],Commerce,69.72,False
CTARAF,EY OFFICE LIMITED,0,['SET'],Property Fund & REITs,No Data,True
CTW,EY OFFICE LIMITED,0,['SET'],Industrial Materials & Machinery,26.81,False
CWT,RSM AUDIT SERVICES (THAILAND),4,['SET'],Automotive,55.24,False
D,"D I A INTERNATIONAL AUDIT CO.,LTD.",3,['mai'],Services,33.99,False
DCC,KARIN AUDIT COMPANY LIMITED,4,['SET'],Construction Materials,45.28,False
DCON,"D I A INTERNATIONAL AUDIT CO.,LTD.",4,['SET'],Construction Materials,28.28,False
DDD,KPMG PHOOMCHAI AUDIT LIMITED,4,['sSET'],Personal Products & Pharmaceuticals,25.52,False
DELTA,EY OFFICE LIMITED,5,"['SET50', 'SETTHSI']",Electronic Components,22.35,False
DEMCO,"DHARMNITI AUDITING CO., LTD.",5,['SET'],Energy & Utilities,66.83,False
DHOUSE,SIAM TRUTH AUDIT COMPANY LIMITED,0,['mai'],Property & Construction,25.14,False
DIF,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['SET'],Information & Communication Technology,71.55,True
DIMET,SP AUDIT COMPANY LIMITED,0,['mai'],Property & Construction,59.90,False
DOD,EY OFFICE LIMITED,4,['mai'],Consumer Products,39.13,False
DOHOME,EY OFFICE LIMITED,4,"['SET100', 'SETWB']",Commerce,27.47,False
DREIT,KPMG PHOOMCHAI AUDIT LIMITED,0,['SET'],Property Fund & REITs,69.68,True
DRT,KPMG PHOOMCHAI AUDIT LIMITED,5,"['sSET', 'SETTHSI']",Construction Materials,36.89,False
DTAC,EY OFFICE LIMITED,5,"['SET50', 'SETTHSI']",Information & Communication Technology,29.37,False
DTC,KPMG PHOOMCHAI AUDIT LIMITED,5,['SET'],Tourism & Leisure,26.72,False
DTCI,OFFICE OF PITISEVI COMPANY LIMITED,0,['SET'],Home & Office Products,27.49,False
DV8,KARIN AUDIT COMPANY LIMITED,5,['mai'],Services,42.61,False
EA,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,"['SET50', 'SETTHSI']",Energy & Utilities,39.67,False
EASON,"DHARMNITI AUDITING CO., LTD.",4,['SET'],Automotive,52.03,False
EASTW,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,['SETTHSI'],Energy & Utilities,41.03,False
ECF,"M.R. & ASSOCIATES CO., LTD.",5,['mai'],Consumer Products,49.71,False
ECL,"D I A INTERNATIONAL AUDIT CO.,LTD.",5,['SET'],Finance & Securities,47.81,False
EE,KARIN AUDIT COMPANY LIMITED,4,['SET'],Agribusiness,31.38,False
EFORL,"GRANT THORNTON CO., LTD.",0,['mai'],Services,51.38,False
EGATIF,EY OFFICE LIMITED,0,['SET'],Energy & Utilities,60.78,True
EGCO,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,"['SET50', 'SETCLMV', 'SETTHSI']",Energy & Utilities,50.01,False
EKH,EY OFFICE LIMITED,3,['sSET'],Health Care Services,55.62,False
EMC,"D I A INTERNATIONAL AUDIT CO.,LTD.",0,['SET'],Construction Services,31.93,False
EP,OFFICE OF PITISEVI COMPANY LIMITED,3,['sSET'],Energy & Utilities,38.01,False
EPG,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,['SET100'],Construction Materials,25.90,False
ERW,KPMG PHOOMCHAI AUDIT LIMITED,4,['sSET'],Tourism & Leisure,62.27,False
ERWPF,KPMG PHOOMCHAI AUDIT LIMITED,0,['SET'],Property Fund & REITs,No Data,True
ESSO,PRICEWATERHOUSE COOPERS ABAS LIMITED,3,['SET100'],Energy & Utilities,34.01,False
ESTAR,EY OFFICE LIMITED,4,['SET'],Property Development,39.65,False
ETC,KARIN AUDIT COMPANY LIMITED,0,['SET'],Energy & Utilities,29.46,False
ETE,PRICEWATERHOUSE COOPERS ABAS LIMITED,5,['mai'],Services,44.06,False
EVER,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",0,['SET'],Property Development,68.80,False
F&D,"BUNCHIKIJ CO., LTD.",0,['SET'],Food & Beverage,27.09,False
FANCY,KARIN AUDIT COMPANY LIMITED,0,['SET'],Home & Office Products,51.43,False
FE,DR.VIRACH AND ASSOCIATES,4,['SET'],Media & Publishing,21.79,False
FLOYD,SIAM TRUTH AUDIT COMPANY LIMITED,4,['mai'],Property & Construction,25.83,False
FMT,KPMG PHOOMCHAI AUDIT LIMITED,3,['SET'],Industrial Materials & Machinery,35.25,False
FN,EY OFFICE LIMITED,4,['SET'],Commerce,32.82,False
FNS,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,['SET'],Finance & Securities,46.28,False
FORTH,EY OFFICE LIMITED,4,['SET'],Information & Communication Technology,33.29,False
FPI,"GRANT THORNTON CO., LTD.",5,['mai'],Industrial,22.18,False
FPT,KPMG PHOOMCHAI AUDIT LIMITED,5,['SET'],Property Development,16.70,False
FSMART,EY OFFICE LIMITED,5,['mai'],Services,35.02,False
FSS,EY OFFICE LIMITED,4,['SET'],Finance & Securities,36.15,False
FTE,PV AUDIT COMPANY LIMITED,4,['SET'],Commerce,35.18,False
FTREIT,KPMG PHOOMCHAI AUDIT LIMITED,0,['SET'],Property Fund & REITs,59.70,True
FUTUREPF,PRICEWATERHOUSE COOPERS ABAS LIMITED,0,['SET'],Property Fund & REITs,No Data,True
FVC,EY OFFICE LIMITED,4,['mai'],Services,74.05,False
GAHREIT,SP AUDIT COMPANY LIMITED,0,['SET'],Property Fund & REITs,89.97,True
GBX,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,['SET'],Finance & Securities,58.69,False
GC,EY OFFICE LIMITED,5,['SET'],Petrochemicals & Chemicals,33.61,False
GCAP,"DHARMNITI AUDITING CO., LTD.",5,['mai'],Financials,74.74,False
GEL,PROUD IN PRO COMPANY LIMITED,5,['SET'],Construction Materials,82.96,False
GENCO,"BPR AUDIT AND ADVISORY CO., LTD.",4,['SET'],Professional Services,71.81,False
GFPT,"SAMNAK-NGAN A.M.C. CO., LTD.",5,"['SET100', 'SETTHSI', 'SETWB']",Agribusiness,57.84,False
GGC,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",5,"['sSET', 'SETTHSI']",Petrochemicals & Chemicals,27.69,False
GIFT,"DHARMNITI AUDITING CO., LTD.",3,['SET'],Petrochemicals & Chemicals,40.54,False
GJS,BAKER TILLY AUDIT AND ADVISORY SERVICES (THAILAND) LTD.,4,['SET'],Steel,30.91,False
GL,KPMG PHOOMCHAI AUDIT LIMITED,4,['SET'],Finance & Securities,35.59,False
GLAND,KPMG PHOOMCHAI AUDIT LIMITED,4,['SET'],Property Development,5.09,False
GLOBAL,"M.R. & ASSOCIATES CO., LTD.",4,"['SET50', 'SETCLMV', 'SETWB']",Commerce,30.96,False
GLOCON,"DELOITTE TOUCHE TOHMATSU JAIYOS  AUDIT CO., LTD.",4,['SET'],Packaging,58.16,False
GOLDPF,KPMG PHOOMCHAI AUDIT LIMITED,0,['SET'],Property Fund & REITs,No Data,True
